Iteration,Best_Fitness,Function
1,1294.3493175878548,sphere
6,1.9884804961952494,sphere
11,3.902350784161188e-05,sphere
16,1.5483262141984203e-05,sphere
21,8.68914528416478e-06,sphere
26,1.157513791920078e-06,sphere
31,1.150883798373209e-06,sphere
36,2.2164640987264667e-07,sphere
41,1.2296214979573533e-07,sphere
46,6.154303865731834e-09,sphere
51,5.1551056500546455e-09,sphere
56,3.254533507336393e-10,sphere
61,1.9765100231291416e-10,sphere
66,9.082232858861463e-15,sphere
71,9.082105765008991e-15,sphere
76,4.776757363530631e-15,sphere
81,4.776757363530631e-15,sphere
86,7.559342984603204e-16,sphere
91,5.3311310384186535e-16,sphere
96,5.24989018329247e-16,sphere
101,5.2479568475681184e-17,sphere
106,1.8423890239087038e-19,sphere
111,1.8423890239087038e-19,sphere
116,6.326695646654518e-22,sphere
121,4.09596937204171e-22,sphere
126,2.86482613113194e-23,sphere
131,2.001082408409303e-23,sphere
136,8.505380344298886e-24,sphere
141,8.504651358611105e-26,sphere
146,9.048159318130914e-27,sphere
151,3.050555599461386e-28,sphere
156,1.9556296656578094e-28,sphere
161,7.102589305815898e-29,sphere
166,1.495764753729836e-29,sphere
171,2.82072394470801e-30,sphere
176,2.912131776818053e-31,sphere
181,1.5645310529678705e-31,sphere
186,4.5046571362173136e-32,sphere
191,3.631988910748956e-33,sphere
196,1.4546480443627252e-34,sphere
201,5.894531102344633e-35,sphere
206,5.487211817919651e-36,sphere
211,1.6646884144478272e-36,sphere
216,1.4712411070534657e-39,sphere
221,9.91082839124078e-40,sphere
226,3.6317077702236775e-41,sphere
231,1.9575245406556117e-41,sphere
236,2.8378424480603405e-42,sphere
241,1.3996728851969079e-42,sphere
246,8.145466381868637e-43,sphere
251,1.2121544038411611e-43,sphere
256,1.0406505199155288e-43,sphere
261,2.9126810191400783e-44,sphere
266,1.6220112844650417e-46,sphere
271,1.4494428212362e-47,sphere
276,7.945319474529433e-48,sphere
281,4.865802179958648e-48,sphere
286,1.308780977770458e-49,sphere
291,1.0525458176194371e-49,sphere
296,1.4771561369801992e-50,sphere
301,7.487902224140703e-51,sphere
306,4.972242046925294e-51,sphere
311,2.293415506090142e-51,sphere
316,5.935987819405784e-56,sphere
321,5.0926679514968165e-58,sphere
326,5.0902575416344154e-58,sphere
331,5.0902575416344154e-58,sphere
336,1.551834745798274e-58,sphere
341,1.1443970410718015e-58,sphere
346,2.422746204267517e-60,sphere
351,1.2956794322463804e-60,sphere
356,7.95203045548969e-64,sphere
361,1.8228755714297606e-64,sphere
366,1.7311713233787082e-64,sphere
371,9.31568308925662e-65,sphere
376,6.509801332938053e-66,sphere
381,6.509801332938053e-66,sphere
386,1.5276161008274173e-66,sphere
391,1.1986322341386997e-66,sphere
396,2.5378487686834333e-67,sphere
401,7.365320076789505e-68,sphere
406,2.394674861575467e-69,sphere
411,4.974428358619179e-71,sphere
416,4.2176446471544054e-72,sphere
421,3.276027930030582e-72,sphere
426,2.576512169193831e-73,sphere
431,2.4186032004360836e-74,sphere
436,2.2272103532570048e-74,sphere
441,2.2272103532570048e-74,sphere
446,2.2692927844110284e-76,sphere
